,Algorithm,Size,Memory Usage (Peak Bytes)_mean,Memory Usage (Peak Bytes)_std,Insertion CPU Time (s)_mean,Insertion CPU Time (s)_std,Total Insertion Steps_mean,Total Insertion Steps_std,Average Search Steps_mean,Average Search Steps_std,Search CPU Time (s)_mean,Search CPU Time (s)_std,Tree Height_mean,Tree Height_std,Max Search Steps_mean,Max Search Steps_std,Rotation Events_mean,Rotation Events_std,M parameter_mean,M parameter_std,Load Factor_mean,Load Factor_std,Total Collisions_mean,Total Collisions_std,Max Bucket Size_mean,Max Bucket Size_std,Min Bucket Size (non-empty)_mean,Min Bucket Size (non-empty)_std,Empty Buckets_mean,Empty Buckets_std
22,"Hash Table (M=1000, golden_ratio)",500000,76220480.0,0.0,27.407999999999866,0.3846686886141183,,,248.993359375,7.028391563072391,0.02000000000007272,3.804639900130722e-13,,,,,,,1000.0,0.0,499.84,0.0,498840.0,0.0,574.0,0.0,424.0,0.0,0.0,0.0
23,"Hash Table (M=1000, golden_ratio)",1000000,152498288.0,,133.53,,,,510.060546875,,0.0500000000010913,,,,,,,,1000.0,,999.455,,998455.0,,1118.0,,899.0,,0.0,
24,"Hash Table (M=1000, modulo)",50000,7635800.0,0.0,0.25199999999999995,0.008366600265339514,,,26.35078125,1.1393974491990102,0.00400000000000024,0.00547722557505199,,,,,,,1000.0,0.0,49.998,0.0,48998.0,0.0,73.0,0.0,26.0,0.0,0.0,0.0
25,"Hash Table (M=1000, modulo)",100000,15256296.0,0.0,0.8759999999999991,0.02701851217221035,,,51.019140625,0.8744465848946881,0.00400000000000488,0.0054772255750583435,,,,,,,1000.0,0.0,99.993,0.0,98993.0,0.0,132.0,0.0,71.0,0.0,0.0,0.0
26,"Hash Table (M=1000, modulo)",500000,76217041.2,199.45726359423074,26.826,0.28147824072222727,,,252.524609375,4.092732683114023,0.029999999999790784,1.0169706007475816e-13,,,,,,,1000.0,0.0,499.84,0.0,498840.0,0.0,571.0,0.0,439.0,0.0,0.0,0.0
27,"Hash Table (M=1000, modulo)",1000000,152515496.0,,134.30000000000015,,,,507.337890625,,0.0500000000010913,,,,,,,,1000.0,,999.455,,998455.0,,1109.0,,912.0,,0.0,
28,"Hash Table (M=5000, folding)",50000,7881240.0,0.0,0.834,0.2219909908081861,,,121.154296875,2.144500120732631,0.009999999999999381,1.4585945541148019e-15,,,,,,,5000.0,0.0,9.9996,0.0,49643.0,0.0,372.0,0.0,1.0,0.0,4645.0,0.0
29,"Hash Table (M=5000, folding)",100000,15506952.0,0.0,4.410000000000004,0.2555386467836081,,,243.487890625,4.400654241299224,0.01399999999999294,0.005477225575054454,,,,,,,5000.0,0.0,19.9986,0.0,99633.0,0.0,706.0,0.0,1.0,0.0,4640.0,0.0
30,"Hash Table (M=5000, folding)",500000,76492504.0,0.0,172.66199999999986,1.8414586609534058,,,1232.153515625,12.758071558530247,0.10799999999999269,0.004472135954792119,,,,,,,5000.0,0.0,99.968,0.0,499466.0,0.0,3479.0,0.0,1.0,0.0,4626.0,0.0
31,"Hash Table (M=5000, golden_ratio)",50000,7985760.0,0.0,0.2399999999999991,0.022360679774999,,,5.889453125,0.23592262473802986,0.00200000000000102,0.00447213595500186,,,,,,,5000.0,0.0,9.9996,0.0,44998.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0
