Size,Iteration,M parameter,Hash Function,Memory Usage (Peak Bytes),Insertion CPU Time (s),Total Insertion Steps,Load Factor,Total Collisions,Max Bucket Size,Min Bucket Size (non-empty),Empty Buckets,Std Dev of Bucket Lengths,Search CPU Time (s),Average Search Steps
50000,4,5000,modulo,7990868,0.21000000000000085,346451,10.0,45000,22,2,0,2.929231981253789,0.0,6.19140625
50000,4,5000,folding,7881588,0.7000000000000028,4633228,10.0,49627,289,1,4627,41.512542682904886,0.010000000000005116,89.51953125
50000,4,5000,golden_ratio,7987900,0.28000000000000114,347639,10.0,45000,23,1,0,3.009252398852579,0.00999999999999801,5.8515625
100000,0,100,modulo,15307400,14.840000000000005,50193460,1000.0,99900,1059,927,0,29.482198018465315,0.01999999999999602,504.1796875
100000,0,100,folding,15202168,15.64,50195597,1000.0,99900,1090,922,0,30.19834432547586,0.030000000000001137,493.099609375
100000,0,100,golden_ratio,15196096,15.939999999999998,50186457,1000.0,99900,1066,926,0,27.00259246813165,0.04000000000000625,503.427734375
100000,0,1000,modulo,15261052,1.1199999999999903,5191843,100.0,99000,128,72,0,9.148005247047031,0.010000000000005116,50.9609375
100000,0,1000,folding,15248472,3.8400000000000034,18882217,100.0,99628,548,1,628,165.72396929834863,0.010000000000005116,189.8828125
100000,0,1000,golden_ratio,15259332,1.2000000000000028,5192684,100.0,99000,129,74,0,9.239480504876884,0.0,51.12890625
100000,0,5000,modulo,15589692,0.5599999999999972,1194268,20.0,95000,38,8,0,4.207992395430391,0.0,11.08203125
100000,0,5000,folding,15505496,3.700000000000003,18882217,20.0,99628,548,1,4628,84.21927807812176,0.01999999999999602,193.15234375
100000,0,5000,golden_ratio,15590212,0.6599999999999966,1194018,20.0,95000,37,6,0,4.196093421266976,0.0,10.7421875
100000,1,100,modulo,15195512,14.36,50193460,1000.0,99900,1059,927,0,29.482198018465315,0.030000000000001137,501.40234375
100000,1,100,folding,15202168,14.730000000000004,50195597,1000.0,99900,1090,922,0,30.19834432547586,0.030000000000001137,521.841796875
100000,1,100,golden_ratio,15196096,14.599999999999994,50186457,1000.0,99900,1066,926,0,27.00259246813165,0.030000000000001137,514.296875
100000,1,1000,modulo,15261052,1.0199999999999818,5191843,100.0,99000,128,72,0,9.148005247047031,0.010000000000019327,49.958984375
100000,1,1000,folding,15248472,3.6999999999999886,18882217,100.0,99628,548,1,628,165.72396929834863,0.020000000000010232,188.373046875
100000,1,1000,golden_ratio,15259332,1.079999999999984,5192684,100.0,99000,129,74,0,9.239480504876884,0.0,50.16015625
100000,1,5000,modulo,15589692,0.5900000000000034,1194268,20.0,95000,38,8,0,4.207992395430391,0.0,10.611328125
100000,1,5000,folding,15505496,3.7099999999999795,18882217,20.0,99628,548,1,4628,84.21927807812176,0.020000000000010232,188.7421875
100000,1,5000,golden_ratio,15590212,0.6599999999999966,1194018,20.0,95000,37,6,0,4.196093421266976,0.0,10.759765625
100000,2,100,modulo,15195000,14.350000000000023,50193460,1000.0,99900,1059,927,0,29.482198018465315,0.030000000000001137,499.044921875
100000,2,100,folding,15202168,14.800000000000011,50195597,1000.0,99900,1090,922,0,30.19834432547586,0.020000000000010232,495.654296875
100000,2,100,golden_ratio,15195864,14.460000000000008,50186457,1000.0,99900,1066,926,0,27.00259246813165,0.030000000000001137,490.048828125
100000,2,1000,modulo,15261564,1.009999999999991,5191843,100.0,99000,128,72,0,9.148005247047031,0.0,52.361328125
100000,2,1000,folding,15248472,3.6999999999999886,18882217,100.0,99628,548,1,628,165.72396929834863,0.01999999999998181,184.98046875
100000,2,1000,golden_ratio,15259332,1.1799999999999784,5192684,100.0,99000,129,74,0,9.239480504876884,0.010000000000019327,48.751953125
100000,2,5000,modulo,15589692,0.5999999999999943,1194268,20.0,95000,38,8,0,4.207992395430391,0.0,10.888671875
100000,2,5000,folding,15505496,3.8300000000000125,18882217,20.0,99628,548,1,4628,84.21927807812176,0.009999999999990905,186.890625
100000,2,5000,golden_ratio,15590212,0.660000000000025,1194018,20.0,95000,37,6,0,4.196093421266976,0.0,10.90234375
100000,3,100,modulo,15194768,14.430000000000007,50193460,1000.0,99900,1059,927,0,29.482198018465315,0.030000000000001137,498.70703125
100000,3,100,folding,15276536,14.889999999999986,50195597,1000.0,99900,1090,922,0,30.19834432547586,0.030000000000001137,508.89453125
100000,3,100,golden_ratio,15196096,14.610000000000014,50186457,1000.0,99900,1066,926,0,27.00259246813165,0.03000000000002956,518.15234375
100000,3,1000,modulo,15261052,1.0400000000000205,5191843,100.0,99000,128,72,0,9.148005247047031,0.009999999999990905,49.18359375
100000,3,1000,folding,15248472,3.6999999999999886,18882217,100.0,99628,548,1,628,165.72396929834863,0.009999999999990905,181.259765625
100000,3,1000,golden_ratio,15259332,1.1299999999999955,5192684,100.0,99000,129,74,0,9.239480504876884,0.0,50.34765625
100000,3,5000,modulo,15589692,0.6000000000000227,1194268,20.0,95000,38,8,0,4.207992395430391,0.009999999999990905,11.12890625
100000,3,5000,folding,15505496,4.21999999999997,18882217,20.0,99628,548,1,4628,84.21927807812176,0.01999999999998181,201.35546875
100000,3,5000,golden_ratio,15590212,0.6800000000000068,1194018,20.0,95000,37,6,0,4.196093421266976,0.009999999999990905,11.3515625
100000,4,100,modulo,15195000,14.610000000000014,50193460,1000.0,99900,1059,927,0,29.482198018465315,0.05000000000001137,498.064453125
100000,4,100,folding,15202168,15.550000000000011,50195597,1000.0,99900,1090,922,0,30.19834432547586,0.03000000000002956,488.072265625
